location,iso3,i.iso3,year,scenario,htn_target_scenario,who_region,deaths_baseline,deaths_intervention,deaths_averted,avg_age_of_death_averted,population,adult_population,avg_adult_age,age_ref_5y,le_avg_adult,le_avg_adult_disc,life_years_gained_undisc,life_years_gained_disc,gni_pc_ppp,gni_pc_usa,vsl_e1_0,vsl_e1_2,vsl_e1_5,vsly_e1_0,vsly_e1_2,vsly_e1_5,economic_value_e1_0,economic_value_e1_2,economic_value_e1_5,vsly_value_e1_0,vsly_value_e1_2,vsly_value_e1_5,disc_r1,disc_r3,disc_r5,gni_pc_disc_r3,economic_value_e1_2_disc_r3,vsly_value_e1_2_disc_r3,economic_value_e1_5_disc_r3,vsly_value_e1_5_disc_r3
Dominican Republic,DOM,DOM,2034,statins_only,aim1,Americas,30800.4715919746,29950.8101400522,849.661451922413,72.9693435617692,12224127,9023828.27355278,45.33630541872,45,34.468,21.2994642040532,12930.3748086833,9720.63890396144,32901.9907842081,83127.6150549084,5264318.52547329,4373584.58489836,3311925.71261664,152730.605938067,126888.261137819,96086.9708894231,4472888521.73569,3716066228.51022,2814015609.64102,1974863979.53651,1640712775.33408,1242440547.83128,0.923483222482312,0.789409234313936,0.676839362028687,25973.1353523659,2933496996.10813,1295193815.70557,2221409907.75418,980794041.544076
Dominican Republic,DOM,DOM,2035,all_interventions,aim1,Americas,31863.0838931465,30128.5389946899,1734.54489845652,71.8358233653618,12289430.5,9123917.90792366,45.4779038709213,45,34.5315,21.3220303983557,27878.256671271,20561.1289316032,34064.6434839067,84050.2073341125,5450342.95742507,4549637.9984439,3469815.31967125,157836.843387199,131753.268709552,100482.612098265,9453864571.64008,7891551380.0248,6018550461.32204,4400216032.13154,3673051442.36383,2801280051.0752,0.914339824239913,0.766416732343627,0.644608916217797,26107.7127473864,6048217021.80044,2815088084.18653,4612717778.01167,2146947903.12444
Dominican Republic,DOM,DOM,2035,bp_combined,aim1,Americas,31863.0838931465,30480.1975772765,1382.88631587002,75.9254959651952,12289430.5,9137058.81209553,45.5399614466524,45,34.5315,21.3220303983557,18430.0642635943,14243.0657622962,34064.6434839067,84050.2073341125,5450342.95742507,4549637.9984439,3469815.31967125,157836.843387199,131753.268709552,100482.612098265,7537204692.62164,6291632130.21032,4798360124.16951,2908943166.78895,2428221209.25565,1851900998.34485,0.914339824239913,0.766416732343627,0.644608916217797,26107.7127473864,4822012138.34396,1861029364.60521,3677543486.97396,1419327911.77536
Dominican Republic,DOM,DOM,2035,bp_diabetes_only,aim1,Americas,31863.0838931465,30982.9658020084,880.118091138022,78.1482043500266,12289430.5,9134359.20330203,45.5317991847852,45,34.5315,21.3220303983557,10431.6631614034,8326.12142389595,34064.6434839067,84050.2073341125,5450342.95742507,4549637.9984439,3469815.31967125,157836.843387199,131753.268709552,100482.612098265,4796945439.73651,4004218710.55946,3053847235.75052,1646500784.67445,1374405719.59192,1048200762.98706,0.914339824239913,0.766416732343627,0.644608916217797,26107.7127473864,3068900219.73619,1053367540.52403,2340519619.50053,803358603.608641
Dominican Republic,DOM,DOM,2035,bp_no_diabetes_only,aim1,Americas,31863.0838931465,31360.0792764168,503.004616729719,72.0209698380777,12289430.5,9132892.68601702,45.5244776291126,45,34.5315,21.3220303983557,8003.32423950761,5921.79117831405,34064.6434839067,84050.2073341125,5450342.95742507,4549637.9984439,3469815.31967125,157836.843387199,131753.268709552,100482.612098265,2741547670.34512,2288488917.66624,1745333124.99414,1263219434.56814,1054464129.09752,804194925.055087,0.914339824239913,0.766416732343627,0.644608916217797,26107.7127473864,1753936198.28236,808158952.196488,1337652510.5091,616348446.628048
Dominican Republic,DOM,DOM,2035,statins_only,aim1,Americas,31863.0838931465,30999.9352428461,863.148650300409,73.0106171485915,12289430.5,9135190.76734653,45.5324436953961,45,34.5315,21.3220303983557,13128.4906419836,9869.88452372738,34064.6434839067,84050.2073341125,5450342.95742507,4549637.9984439,3469815.31967125,157836.843387199,131753.268709552,100482.612098265,4704456167.37579,3927013897.71231,2994966409.96592,2072159521.36908,1729721555.30411,1319185032.61415,0.914339824239913,0.766416732343627,0.644608916217797,26107.7127473864,3009729159.35268,1325687542.28051,2295392369.405,1011045482.05276
Dominican Republic,DOM,DOM,2036,all_interventions,aim1,Americas,32954.8287174973,31202.6225136763,1752.20620382102,71.89842040351,12352223,9234139.23637818,45.6794258789696,45,34.5994,21.3461134199846,28132.2332410344,20751.0526366392,35061.0586350805,84847.8568068913,5609769.38161288,4700908.92581809,3606094.32006449,162134.874639817,135866.77589259,104224.186548452,9829472712.46728,8236961783.41606,6318620839.18074,4561216109.8732,3822235829.1177,2932059125.33812,0.905286954692983,0.744093914896725,0.613913253540759,26088.7203802007,6129073140.27676,2844102421.74672,4701647316.97403,2181727353.28151
Dominican Republic,DOM,DOM,2036,bp_combined,aim1,Americas,32954.8287174973,31509.8042230359,1445.02449446144,76.1030685158197,12352223,9245880.74941067,45.7369989668561,45,34.5994,21.3461134199846,19115.168502091,14800.2640210614,35061.0586350805,84847.8568068913,5609769.38161288,4700908.92581809,3606094.32006449,162134.874639817,135866.77589259,104224.186548452,8106254164.71039,6792928544.03954,5210894621.83145,3099235448.8055,2597116315.0227,1992262887.86701,0.905286954692983,0.744093914896725,0.613913253540759,26088.7203802007,5054576793.94809,1932498446.28739,3877394979.27285,1482430691.73642
Dominican Republic,DOM,DOM,2036,bp_diabetes_only,aim1,Americas,32954.8287174973,32031.9723005187,922.856416978593,78.270698015615,12352223,9242773.25324319,45.727642157237,45,34.5994,21.3461134199846,10879.8620037494,8695.07296732589,35061.0586350805,84847.8568068913,5609769.38161288,4700908.92581809,3606094.32006449,162134.874639817,135866.77589259,104224.186548452,5177011671.59148,4338263967.82317,3327907283.50158,1764005062.07642,1478211772.60573,1133944767.10019,0.905286954692983,0.744093914896725,0.613913253540759,26088.7203802007,3228075819.67294,1099928384.92463,2476275558.99401,843761401.028234
Dominican Republic,DOM,DOM,2036,bp_no_diabetes_only,aim1,Americas,32954.8287174973,32432.7485861577,522.080131339651,72.2438696810894,12352223,9241055.15745769,45.7192173637204,45,34.5994,21.3461134199846,8239.34265422208,6109.05767697235,35061.0586350805,84847.8568068913,5609769.38161288,4700908.92581809,3606094.32006449,162134.874639817,135866.77589259,104224.186548452,2928749135.53761,2454251149.40685,1882670196.24244,1335884788.35679,1119452921.90345,858738785.830256,0.905286954692983,0.744093914896725,0.613913253540759,26088.7203802007,1826193345.90193,832978107.201718,1400883436.78142,638982305.022095
Dominican Republic,DOM,DOM,2036,statins_only,aim1,Americas,32954.8287174973,32077.3406745674,877.488042929912,73.0662452517541,12352223,9243595.22412789,45.7278932507703,45,34.5994,21.3461134199846,13335.8662936614,10025.9494810366,35061.0586350805,84847.8568068913,5609769.38161288,4700908.92581809,3606094.32006449,162134.874639817,135866.77589259,104224.186548452,4922505555.95963,4124991373.30787,3164304647.53406,2162209009.73615,1811901157.05445,1389919816.37577,0.905286954692983,0.744093914896725,0.613913253540759,26088.7203802007,3069380979.87987,1348224625.35855,2354539833.10952,1034230877.55959
Dominican Republic,DOM,DOM,2037,all_interventions,aim1,Americas,34069.4758484191,32296.6787765506,1772.79707186851,71.969542058987,12412546,9342085.9850381,45.8779649473555,45,34.6632,21.368698235136,28421.0619385111,20967.6476379534,36086.6196410747,85653.076096588,5773859.14257196,4857209.46070755,3747725.75689518,166570.286141267,140125.823948959,108118.28558515,10235880581.3328,8610846709.39438,6643957247.98999,4734104419.53646,3982524721.63826,3072836491.30119,0.896323717517805,0.722421276598762,0.584679289086437,26069.7418292392,6220658872.39694,2877060593.49204,4799736076.76053,2219882460.82507
