who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Americas,bp_diabetes_only,69153614428.0404,0.00169429821401282,415757645792.93,0.0105634805840392,572109751765.188,0.0161590331382257,577880959270.875,0.0184286171524573,12201784472255,0.0134943515424278
Eastern Mediterranean,bp_diabetes_only,8986955370.87166,0.000834366326406552,62572703319.867,0.00556410217121142,104498293737.129,0.0085279993592266,142122327446.455,0.0109743425472718,2292151305257.48,0.00764811686016252
Europe,bp_diabetes_only,107640157532.463,0.00256879951399906,638066652903.853,0.0158979497339057,711700216738.156,0.020203351830739,626805993419.396,0.020964578469544,15539983939060.7,0.0172147290068554
South-East Asia,bp_diabetes_only,17584841172.8429,0.000762637859277232,111379292545.696,0.00439650885690771,172798474416.818,0.00601822195541653,224944476241.966,0.0075310505262244,3785704628617.75,0.00549231987595906
Western Pacific,bp_diabetes_only,58431958678.4147,0.00126100619456323,360390499634.191,0.00768594966780422,524125459999.161,0.0119547773004554,568413904977.899,0.014891051371709,11129491008412.6,0.0101446634623109
World,bp_diabetes_only,264916112983.371,0.00155913985853677,1607792080482.06,0.0094411245954001,2117104771143.24,0.0129008511293165,2184255215725.22,0.0143342633563922,45655860648386.3,0.01112441123149
Africa,bp_no_diabetes_only,1340860976.73256,0.000190820139449898,7246099150.68014,0.000987931605388343,10123397068.7092,0.00116822941361623,13253393281.4639,0.00130794267948148,227498463386.458,0.00107750768098633
Americas,bp_no_diabetes_only,51957771078.1318,0.00127299143320079,276165489579.11,0.00701675318943758,320212384449.313,0.00904428305167297,312114679063.902,0.00995333352977741,7052755932004.07,0.00779987288792172
Eastern Mediterranean,bp_no_diabetes_only,3995819537.07586,0.000370979617740123,24698920533.9673,0.00219628224574392,36890895442.5889,0.00301062841740843,45469494504.2107,0.00351104444393862,804916144776.883,0.00268572703894588
Europe,bp_no_diabetes_only,57470313955.1739,0.00137151150594424,307268893393.126,0.00765585444674983,317555049146.793,0.00901457697026484,275825452462.76,0.00922544519797514,7055513070111.94,0.00781588616710278
South-East Asia,bp_no_diabetes_only,9263281460.50103,0.000401739718515573,52224526978.3611,0.00206147471545466,68352129920.3639,0.00238056667094151,84875582151.4597,0.00284160032868637,1528469662144.4,0.00221751169960169
Western Pacific,bp_no_diabetes_only,50249970875.3102,0.00108443266293922,281270328627.131,0.00599857540936626,361712997281.319,0.00825031153645027,378902230486.428,0.0099263099118729,7834704827902.18,0.00714142666053032
World,bp_no_diabetes_only,174278017882.925,0.00102569753529907,948874258262.374,0.00557188967800922,1114846853309.09,0.00679346316845759,1110440831950.22,0.00728731295329923,24503858100325.9,0.00597055866201787
Africa,statins_only,4201198852.2863,0.000597879545128952,21114864762.5882,0.0028787961368847,22718315347.8726,0.0026216697850594,28636976847.2623,0.00282610826030813,535368844384.379,0.00253568324549521
Americas,statins_only,38576969961.8119,0.000945155099251353,195981367808.518,0.00497945231946456,201481450391.214,0.00569077073684574,203364786345.015,0.0064853007002898,4599215944605.57,0.00508642296683485
Eastern Mediterranean,statins_only,15761007290.7295,0.00146328241444882,85389054166.196,0.00759298218673847,97480804371.0501,0.00795530919676479,118993476568.468,0.00918838859605024,2240835287409.93,0.00747689304068952
Europe,statins_only,127442632870.278,0.00304137954537272,590423583473.059,0.0147108839006849,433193478771.21,0.0122972567052294,344861122112.256,0.0115344590375987,10535758766413.3,0.0116711981657536
South-East Asia,statins_only,35183559730.9384,0.00152587756757189,189682758159.767,0.00748740548796317,197002401991.051,0.00686119588111907,235082533690.265,0.00787046860910622,4609984064424.58,0.00668818874919421
Western Pacific,statins_only,92778516703.0862,0.00200223108947738,533743649782.095,0.0113830049124472,619953620244.718,0.0141405217495989,645018485606.848,0.0168979036592128,13718087933475.7,0.0125042003561804
World,statins_only,313943885409.131,0.00184768838547772,1616335278152.22,0.00949129115277176,1571830071117.12,0.0095781493785566,1575957381170.11,0.0103422841696831,36239250840713.5,0.00882997983934545
