who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Eastern Mediterranean,bp_no_diabetes_only,2793541007.12457,0.000259357752608324,17816449893.9164,0.00158427784446617,28673476525.7369,0.00234001322599013,36643978309.2642,0.00282955941888984,621823797788.178,0.00207481114401382
Europe,bp_no_diabetes_only,46724800117.4926,0.00111507309711358,249965822108.71,0.0062281018087894,266203030790.834,0.0075568242962261,235019364893.699,0.00786061711104227,5879414078019.06,0.00651303891104965
South-East Asia,bp_no_diabetes_only,4862665513.95423,0.000210889184695647,28761052481.0597,0.00113529381518641,41311865206.3277,0.00143880884969046,55067336739.928,0.00184363226988919,921503817746.843,0.00133692250994001
Western Pacific,bp_no_diabetes_only,34996991302.9533,0.000755261740702218,197606584357.827,0.00421430160601513,261503615604.061,0.00596463581031808,285490205724.77,0.00747914377592962,5673338703845.26,0.00517131572456542
World,bp_no_diabetes_only,135194660935.459,0.000795675967580988,734064038352.059,0.00431050142068522,871025989069.927,0.00530770926782654,875805764361.334,0.00574751081513776,19132461330951.1,0.00466177539298241
Africa,statins_only,2043636166.42002,0.000290833237023128,10212120274.4483,0.00139231828979425,11420446318.1327,0.00131790753784678,14842303022.7699,0.00146474802135605,268596498064.023,0.00127216151459616
Americas,statins_only,29851719285.8292,0.000731382084501492,149958302383.301,0.00381010820046456,154669085446.347,0.00436857241023287,155625645347.014,0.00496290004229035,3527246855551.72,0.00390089737726219
Eastern Mediterranean,statins_only,9727232439.39089,0.000903095081885339,55014025162.3956,0.00489196791272364,69945655184.2356,0.00570819370594094,88913784783.8046,0.00686570751354674,1583306075841.21,0.00528294526878044
Europe,statins_only,94583650057.6148,0.0022572099471982,441963682162.357,0.0110118846851691,349033558022.171,0.00990817145704338,288394681929.735,0.00964584417346133,8317396194403.86,0.00921376251679497
South-East Asia,statins_only,17637579061.34,0.000764925051409983,99468057532.7833,0.00392633303666271,116351578759.148,0.00405229055521988,148814730491.615,0.00498225728011779,2684888485411.69,0.00389525011584025
Western Pacific,statins_only,58194074068.0899,0.00125587246339974,338933719653.753,0.00722834678667891,413274647138.97,0.00942638117690098,451718375719.168,0.0118339144758266,9123534781291.57,0.00831621049632284
World,statins_only,212037891078.685,0.00124792985891956,1095549907169.04,0.0064331845514258,1114694970869,0.00679253765320895,1148309521294.11,0.00753582776150876,25504968890564.1,0.00621448721709778
