who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Europe,bp_combined,61159040016.8752,0.00145954182782217,403864265282.74,0.0100626067191655,471358923939.87,0.0133806762383204,430219568331.725,0.0143894155354525,10306259234681.3,0.011416965454738
South-East Asia,bp_combined,20066006357.8069,0.000870243636695136,197848952101.812,0.00780975215737385,334830988519.179,0.0116614872513239,413496832602.897,0.0138437075263696,7143216909705.64,0.0103634160771249
Western Pacific,bp_combined,54158226734.6989,0.00116877580255141,460097256355.49,0.0098123684121323,651009797324.57,0.0148488820738498,797677649966.327,0.0208971996632885,14593887970725.1,0.0133025025095726
World,bp_combined,166631060381.165,0.000980161911162726,1276301979864.19,0.0074907902883837,1774378111122.1,0.0108078803819773,2021498310606.06,0.0132617119948349,38958258085766.6,0.00948832397324584
Africa,bp_diabetes_only,1111824335.44591,0.000158225556873593,8407477414.24479,0.00114627366896318,14453176473.581,0.00166788141984599,21463887090.6646,0.00211821481467054,323703386239.468,0.00153316589414412
Americas,bp_diabetes_only,4188415010.17544,0.000102387728172709,29064990337.2609,0.000736864082967002,41842176318.1153,0.00117952985058724,45487728321.7791,0.0014482402907677,897611023336.36,0.000990724136561144
Eastern Mediterranean,bp_diabetes_only,2722146252.37868,0.000252729325428737,20721049519.1405,0.00184256122082267,39953551957.8594,0.00326056869744267,58992890852.5187,0.00455528841739009,877077130949.16,0.00292650331480702
Europe,bp_diabetes_only,22066635255.4065,0.000526613516917114,146143719872.79,0.00364128967074183,169352160697.428,0.00480747540242047,152513005592.717,0.0051010534470674,3697923323784.46,0.00409644875803697
South-East Asia,bp_diabetes_only,6783119041.1373,0.000294177430089308,54211795533.266,0.00213991877451626,91329297948.2131,0.00318081503867269,119038721548.128,0.00398536848529585,1971594501164.7,0.00286039951036335
Western Pacific,bp_diabetes_only,10976277448.8173,0.000236876431481259,88984479656.9036,0.00189774767246341,135534200707.656,0.00309139950205403,174925187720.577,0.00458261125166215,3022520025326.69,0.0027550629621658
World,bp_diabetes_only,47848417343.3611,0.000281455306604301,347533512333.606,0.00203972155504567,492464564102.853,0.00299964143370792,572421421126.385,0.00375527794746278,10790429390800.8,0.00262802021704759
Africa,bp_only,1686629625.17331,0.000240027046696649,17289620977.5637,0.00235726321897171,30395728260.1325,0.00350763519012108,43925951957.7463,0.00433493718040815,674601062953.391,0.00319513290821239
Americas,bp_only,18317499707.4452,0.000447779691432967,115659721595.971,0.00293223887918436,147376536645.564,0.0041545406942503,151084910721.134,0.00481024801866452,3203926825129.37,0.00353628415305448
Eastern Mediterranean,bp_only,3258453753.96839,0.000302521151632307,26558586416.6907,0.00236164781933748,47986747425.9138,0.00391614960076769,64215447250.2291,0.00495856159698612,1039280375405.43,0.00346771949275025
Europe,bp_only,39208810168.1066,0.000935706290414313,266201957836.308,0.00663263833878279,309993802729.589,0.00879993249208017,282060407434.961,0.00943398373165397,6780955294720.11,0.00751173928261241
South-East Asia,bp_only,13328815905.7011,0.000578058085888351,148528159964.562,0.00586289745480731,250717286265.188,0.00873197684120725,302688109795.318,0.0101338760863985,5322359094388.83,0.00772170613103976
Western Pacific,bp_only,43205784760.8356,0.000932413758782754,379432648909.745,0.00809205637996028,526201097174.69,0.012002120507538,635755879903.906,0.01665524608847,11812929230012.8,0.0107676255322002
World,bp_only,119005993921.23,0.000700020405408389,953670695700.84,0.00559722330481078,1312671198501.08,0.00799558628757801,1479730707063.29,0.00970753344884242,28834051882610,0.0070225631012886
Africa,statins_only,2323742260.11072,0.000330695597690133,12443364027.4092,0.0016965255849247,14428268903.7372,0.00166500711238619,18666190567.8766,0.00184211747049008,336635183041.4,0.00159441514469122
Americas,statins_only,22580940713.9128,0.0005520014645357,112869498692.765,0.00286150033714504,114549799647.834,0.00322915584113416,114470217762.407,0.00364450781722369,2620020213684.16,0.00289180635764351
Eastern Mediterranean,statins_only,9528572487.47623,0.000884651107542217,54019542159.1298,0.00480353630046904,71490579690.5251,0.00583427342196801,86582588666.09,0.00668569818496106,1593133251420.74,0.00531573515794056
Europe,statins_only,70388445367.7302,0.00167979877024281,339644340896.381,0.00846251505920627,280869047062.173,0.00797315504858023,243536492056.425,0.00814548672398898,6682238838048.1,0.00740238414706082
South-East Asia,statins_only,22541711316.3763,0.000977612609280525,123864847114.684,0.00488935496852615,144217511764.388,0.00502280473589358,174828569442.926,0.00585319013784509,3287556692726.3,0.00476960427137067
Western Pacific,statins_only,51661619229.9805,0.00111489711013637,294456219141.409,0.00627978729181265,342860466387.526,0.00782030417068406,396187403449.385,0.0103791390849563,7870467210734.97,0.00717402449794937
World,statins_only,179025031375.587,0.0010530660760225,937297812031.778,0.00550112861882268,968415673456.183,0.00589869808083211,1034271461945.11,0.00678517027732793,22390051389655.7,0.00545312012911308
