who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Africa,bp_diabetes_only,559014423.215808,7.95542655380156e-05,3428882759.60352,0.000467493140645965,5833112997.03577,0.000673135127451166,8388106749.75369,0.000827800291220039,128097708630.095,0.000606712954940744
Americas,bp_diabetes_only,23468655590.1848,0.000574993824698904,125001956511.367,0.00317602274771489,143315033785.454,0.00404788132521744,137274959687.255,0.00437769688741314,3153104429976.55,0.00348712106207417
Eastern Mediterranean,bp_diabetes_only,2205100107.68497,0.000204725760870152,14812633854.166,0.00131717192667872,28282760882.5049,0.00230812732014459,39498683898.0807,0.00304999288325938,610551704401.792,0.00203720006341893
Europe,bp_diabetes_only,25105289030.9271,0.00059913006204958,143858473556.95,0.00358435089970047,176887501454.407,0.0050213844850613,170233781352.903,0.0056937545345904,3840172324688.46,0.00425402794291008
South-East Asia,bp_diabetes_only,3463099591.75541,0.000150191339982016,21685286115.4199,0.000855989926780202,36332139998.6421,0.00126537507559044,50541064973.327,0.00169209451293166,795253905498.702,0.00115375848358232
Western Pacific,bp_diabetes_only,13650367145.8698,0.000294585324851738,88945198716.0762,0.00189690993857639,128141346718.466,0.0029227758998812,158976546557.267,0.00416479593646321,2850406553867.8,0.00259817948528795
World,bp_diabetes_only,68451525889.6378,0.000402865273804223,397732431513.582,0.0023355267681287,518791895836.509,0.00316132536589982,564913143218.586,0.00370726539192168,11377586627063.4,0.002772238890339
Africa,bp_no_diabetes_only,350181767.923232,4.9834945566658e-05,1865937082.23108,0.000254401461927161,2541205260.91468,0.000293252424229505,3534211591.47665,0.000348782087774874,58670443138.9683,0.000277882550009669
Americas,bp_no_diabetes_only,24579386419.366,0.000602207286723928,118661368551.322,0.00301492245651138,114218317546.118,0.0032260550926208,104944368247.78,0.00334667469782181,2614816562027.41,0.00289181094676715
Eastern Mediterranean,bp_no_diabetes_only,1591555481.00314,0.000147763090519053,9671629607.32914,0.000860022540854595,14682123406.9086,0.00119819314295383,17008146547.5653,0.00131332795951785,314613500222.366,0.00104975653656299
Europe,bp_no_diabetes_only,18216365668.9673,0.000434728008114997,95176272344.4225,0.00237139425278843,107256085496.985,0.00304472638945487,100870869687.591,0.00337379553651091,2369784802784.13,0.00262517666327518
South-East Asia,bp_no_diabetes_only,2384331439.59006,0.000103406189855418,13335875812.0277,0.000526411101939312,19061838051.009,0.000663885330332588,25356491248.4891,0.000848925121214035,423979198813.254,0.000615111216821338
Western Pacific,bp_no_diabetes_only,14279205440.5228,0.000308156134437298,85803736611.8606,0.00182991283504335,107134464619.903,0.002443629938787,125963610719.942,0.00329993791807316,2424124428893.91,0.00220961825687327
World,bp_no_diabetes_only,61401026217.3725,0.000361370194709811,324514820009.193,0.00190558523452985,364894034381.838,0.00222352888704405,377677698042.844,0.00247852519641787,8205988935880.04,0.00199945405009057
Africa,statins_only,889239390.319884,0.000126549125830088,4604041168.09975,0.000627713986227731,5210920825.10312,0.000601334802793332,6650604743.62636,0.000656330767813004,120427917941.153,0.000570386299121298
Americas,statins_only,13945116536.6511,0.000341662344588431,66524149434.57,0.00169023123935957,61071124910.2987,0.00172493184772573,59534840423.1286,0.00189856537715789,1429916265625.33,0.00158139105050245
Eastern Mediterranean,statins_only,4764784141.08557,0.000442371779524279,27248603959.1385,0.00242300569429585,36045665340.1059,0.0029416500492974,41409412916.3106,0.00319753475889442,791706636943.767,0.00264165147580954
Europe,statins_only,38429144239.563,0.000917099800938297,181272455783.919,0.00451655070372192,148748957338.928,0.00422260306923529,130369793425.455,0.00436043655137396,3547204128578.56,0.00392948654547771
South-East Asia,statins_only,7582984578.43588,0.000328866838715704,41837619504.9331,0.0016514691420751,48318300773.0566,0.00168282885333463,61153864085.3577,0.00204740675563549,1113485003335.48,0.00161544980798853
Western Pacific,statins_only,24015672109.5926,0.000518276504531806,152932348689.062,0.00326154639424824,176933058951.021,0.00403566603471464,206832304499.357,0.00541849952060661,4075678486527.46,0.00371502942903218
World,statins_only,89626940995.6481,0.000527491267070683,474419218539.722,0.00278583966612333,476328028138.514,0.00290256630824062,505950820093.236,0.00332032275733452,11078418438951.8,0.0026993441972006
