"scenario_id","location","sex","age_group","cause","RMSE_deaths","RMSE_prev","error","IRadjust","CFadjust"
10,"Uganda","Female","60-64","ihd",8.92528034625097,288.453198336456,306.303759028958,0.8,0.95
10,"Namibia","Female","60-64","istroke",6.68747617617023,40.8089455503802,54.1838979027206,0.8,0.95
10,"Togo","Female","60-64","istroke",19.9980131995294,257.659496347227,297.655522746285,0.8,0.95
10,"Cabo Verde","Male","60-64","hhd",0.110534823263442,3.08959880567573,3.31066845220261,0.8,0.95
10,"Central African Republic","Male","60-64","hhd",4.03808302444025,31.5582940072821,39.6344600561626,0.8,0.95
10,"Chad","Male","60-64","hhd",2.39630848975558,40.4179146786948,45.2105316582059,0.8,0.95
10,"Egypt","Male","60-64","hhd",78.1902096664092,565.460591226644,721.841010559462,0.8,0.95
10,"Mongolia","Male","60-64","hhd",2.35834959652409,6.77616507070676,11.4928642637549,0.8,0.95
10,"Sudan","Male","60-64","hhd",150.952841466712,234.740750071233,536.646433004657,0.8,0.95
10,"Australia","Male","60-64","hstroke",42.8707344434899,59.6846068732085,145.426075760188,0.8,0.95
10,"Cyprus","Male","60-64","hstroke",2.52471170945755,1.48857532808464,6.53799874699974,0.8,0.95
10,"Estonia","Male","60-64","hstroke",8.26850427464796,4.05495555047055,20.5919640997665,0.8,0.95
10,"Iceland","Male","60-64","hstroke",0.597091763480119,1.08129983618531,2.27548336314555,0.8,0.95
10,"Bahamas","Male","60-64","ihd",7.63451390003559,131.23126403058,146.500291830651,0.8,0.95
10,"Guyana","Male","60-64","ihd",8.74508695533373,51.7732518622099,69.2634257728774,0.8,0.95
10,"United States Virgin Islands","Male","60-64","ihd",3.5429456711485,7.80151153639427,14.8874028786913,0.8,0.95
10,"Bhutan","Male","60-64","istroke",2.00956687619196,11.0953296252933,15.1144633776772,0.8,0.95
10,"Marshall Islands","Male","60-64","istroke",0.120785089987737,1.09406372705447,1.33563390702995,0.8,0.95
10,"Zimbabwe","Male","60-64","istroke",22.0685658977557,264.845710470198,308.982842265709,0.8,0.95
10,"Bulgaria","Female","65-69","hhd",213.919867346751,95.1801293782946,523.019864071796,0.8,0.95
10,"Cook Islands","Female","65-69","hhd",0.19539459672061,0.868625416820997,1.25941461026222,0.8,0.95
10,"Guatemala","Female","65-69","hhd",2.82582426066104,26.5167352687451,32.1683837900672,0.8,0.95
10,"Guinea-Bissau","Female","65-69","hhd",2.11041175138622,10.6313117580844,14.8521352608568,0.8,0.95
10,"Paraguay","Female","65-69","hhd",10.038758477755,40.952670004682,61.0301869601921,0.8,0.95
10,"Suriname","Female","65-69","hhd",0.801216749974485,3.84919594699413,5.4516294469431,0.8,0.95
10,"Syrian Arab Republic","Female","65-69","hhd",73.109947612951,158.594557268269,304.814452494171,0.8,0.95
10,"Yemen","Female","65-69","hhd",113.711759607963,292.510106178394,519.93362539432,0.8,0.95
10,"Angola","Female","65-69","hstroke",65.1309162303187,119.452098455536,249.713930916173,0.8,0.95
10,"Cyprus","Female","65-69","hstroke",3.16700317244169,11.1696453238438,17.5036516687271,0.8,0.95
10,"Djibouti","Female","65-69","hstroke",3.91335588547277,6.37266466274048,14.199376433686,0.8,0.95
10,"Gabon","Female","65-69","hstroke",4.04421036684663,6.43466595595297,14.5230866896462,0.8,0.95
10,"Greenland","Female","65-69","hstroke",0.207373198586711,0.297817977145582,0.712564374319004,0.8,0.95
10,"Liberia","Female","65-69","hstroke",16.1578819309991,34.235058130123,66.5508219921211,0.8,0.95
10,"Mozambique","Female","65-69","hstroke",61.4840787773213,115.368242950253,238.336400504895,0.8,0.95
10,"Serbia","Female","65-69","hstroke",48.8405217819601,31.5569442088598,129.23798777278,0.8,0.95
10,"Indonesia","Female","65-69","ihd",1511.63522244118,29023.3345259779,32046.6049708603,0.8,0.95
10,"Mali","Female","65-69","ihd",69.9089200701492,661.370179071955,801.188019212253,0.8,0.95
10,"Eswatini","Female","65-69","istroke",4.52643900895051,14.2383198856341,23.2911979035351,0.8,0.95
10,"Montenegro","Female","65-69","istroke",21.4589451401449,46.3251804102459,89.2430706905357,0.8,0.95
10,"Bhutan","Male","65-69","hhd",1.81849816443526,2.9603330427636,6.59732937163413,0.8,0.95
10,"Gambia","Male","65-69","hhd",0.96023248000463,6.77128763662245,8.69175259663171,0.8,0.95
10,"Nicaragua","Male","65-69","hhd",2.63966797224189,16.5187174299643,21.7980533744481,0.8,0.95
10,"Norway","Male","65-69","hhd",1.01579857010646,6.68960503671557,8.72120217692849,0.8,0.95
10,"Pakistan","Male","65-69","hhd",253.985165805772,1063.09912864147,1571.06946025302,0.8,0.95
10,"Switzerland","Male","65-69","hhd",22.2657154950931,9.67219195283942,54.2036229430257,0.8,0.95
10,"Albania","Male","65-69","hstroke",48.6773995998154,15.73237431671,113.087173516341,0.8,0.95
10,"Mongolia","Male","65-69","hstroke",16.1069503803044,13.0572806650927,45.2711814257015,0.8,0.95
10,"Portugal","Male","65-69","hstroke",41.4750658665279,64.7942723924264,147.744404125482,0.8,0.95
10,"Spain","Male","65-69","hstroke",209.379551336879,106.606130415894,525.365233089653,0.8,0.95
10,"Maldives","Male","65-69","ihd",7.99227376708332,19.1132819297182,35.0978294638849,0.8,0.95
10,"Maldives","Male","65-69","istroke",3.10564780739918,10.1903674003384,16.4016630151368,0.8,0.95
10,"North Macedonia","Male","65-69","istroke",73.3552821603559,222.744603811394,369.455168132106,0.8,0.95
10,"Timor-Leste","Male","65-69","istroke",7.7387858323343,27.9760960227836,43.4536676874522,0.8,0.95
10,"Burundi","Female","70-74","hhd",14.9306320342005,100.335085699781,130.196349768182,0.8,0.95
10,"Cyprus","Female","70-74","hhd",3.6609261364791,22.027453723986,29.3493059969442,0.8,0.95
10,"El Salvador","Female","70-74","hhd",3.99231885314964,24.7353467296083,32.7199844359076,0.8,0.95
10,"Estonia","Female","70-74","hhd",44.6413762420776,56.1815468928664,145.464299377022,0.8,0.95
10,"Gabon","Female","70-74","hhd",3.99106238276982,4.05770545026768,12.0398302158073,0.8,0.95
10,"Pakistan","Female","70-74","hhd",270.426065178981,1397.7607162122,1938.61284657016,0.8,0.95
10,"Tuvalu","Female","70-74","hhd",0.0323589368307071,0.0344824552710776,0.0992003289324918,0.8,0.95
10,"Argentina","Female","70-74","hstroke",177.589390133663,193.830231483705,549.00901175103,0.8,0.95
10,"Cyprus","Female","70-74","hstroke",5.54779680434401,11.5853753483967,22.6809689570848,0.8,0.95
10,"Grenada","Female","70-74","hstroke",0.454561636592654,0.18907026113725,1.09819353432256,0.8,0.95
10,"Guyana","Female","70-74","hstroke",1.6068136892188,2.66893058132882,5.88255795976643,0.8,0.95
10,"Monaco","Female","70-74","hstroke",0.255565749721465,0.173955291063753,0.685086790506682,0.8,0.95
10,"New Zealand","Female","70-74","hstroke",17.792600394419,21.2447318328838,56.8299326217218,0.8,0.95
10,"Paraguay","Female","70-74","hstroke",15.6145682105157,22.9308869233825,54.160023344414,0.8,0.95
10,"Poland","Female","70-74","hstroke",256.475315239868,118.049216357229,630.999846836964,0.8,0.95
10,"San Marino","Female","70-74","hstroke",0.134983149074689,0.214391459792002,0.48435775794138,0.8,0.95
10,"Suriname","Female","70-74","hstroke",1.22369643754258,0.47929653370758,2.92668940879274,0.8,0.95
10,"Guinea","Female","70-74","ihd",109.951225649017,695.53207824519,915.434529543224,0.8,0.95
10,"Pakistan","Female","70-74","ihd",1000.32267667283,6386.34194595791,8386.98729930357,0.8,0.95
10,"Sao Tome and Principe","Female","70-74","ihd",1.21656521814247,5.85912958919285,8.29226002547778,0.8,0.95
10,"Seychelles","Female","70-74","ihd",1.74570332307084,3.70778135061551,7.19918799675719,0.8,0.95
10,"Tajikistan","Female","70-74","istroke",97.9735391486753,233.580502463826,429.527580761177,0.8,0.95
10,"Kazakhstan","Male","70-74","hhd",186.223897055138,152.377557366863,524.82535147714,0.8,0.95
10,"San Marino","Male","70-74","hhd",0.176448281634031,0.230096052218265,0.582992615486327,0.8,0.95
10,"Turkmenistan","Male","70-74","hhd",11.6126508602173,14.6555987323467,37.8809004527813,0.8,0.95
