location,iso3,year,pop_40plus_2025,diabetes_prev_2025,diabetes_pop_40plus_2025,statins_baseline_2025,statins_target_2030,prim_prev_ihd_2025,prim_prev_istroke_2025,prim_prev_total_2025,sec_prev_ihd_2025,sec_prev_istroke_2025,sec_prev_total_2025,total_eligible_2025
Grenada,GRD,2025,50782,0.0636938,3234.4985516,0.0569399450712635,0.8,,,,,,,
Guadeloupe,,2025,222275,,,,0.8,,,,,,,
Guam,,2025,70999,,,,0.8,,,,,,,
Guatemala,GTM,2025,4752618.5,0.06168065,293144.598282025,0.019460245032564,0.8,,,,,,,
Guernsey,,2025,37385,,,,0.8,,,,,,,
Guinea,GIN,2025,2863975,0.05257783,150581.59067425,0.00261573896029736,0.8,,,,,,,
Guinea-Bissau,GNB,2025,474559,0.06158785,29227.06850815,0.00258513997637787,0.8,,,,,,,
Guyana,GUY,2025,269063,0.06429017,17298.10601071,0.0287563944150216,0.8,,,,,,,
Haiti,HTI,2025,3273931.5,0.05606393,183549.466440795,0.00326167135806143,0.8,,,,,,,
Holy See,,2025,367,,,,0.8,,,,,,,
Honduras,HND,2025,2999811,0.05583624,167498.16695064,0.0241233858612039,0.8,,,,,,,
Hungary,HUN,2025,5570929,0.035532,197946.249228,0.135941236569083,0.8,,,,,,,
Iceland,ISL,2025,188900.5,0.05687688,10744.07107044,0.322152772362187,0.8,,,,,,,
India,IND,2025,516737217,0.04915756,25401540.7489105,0.014516321483595,0.8,,,,,,,
Indonesia,IDN,2025,110986786,0.06667964,7400558.93523704,0.015881562008136,0.8,,,,,,,
Iran (Islamic Republic of),,2025,38999332.5,0.0558334283333333,2177466.43618659,0.0587724537472342,0.8,,,,,,,
Iraq,IRQ,2025,11060046.5,0.06161926,681511.88089559,0.0398878423902999,0.8,,,,,,,
Ireland,IRL,2025,2723738,0.06535046,177997.53121948,0.206837323565638,0.8,,,,,,,
Isle of Man,,2025,50320,,,,0.8,,,,,,,
Israel,ISR,2025,3711878.5,0.0480472,178345.3686652,0.161924054195022,0.8,,,,,,,
Italy,ITA,2025,37280820,0.04227376,1576000.4372832,0.190829532772403,0.8,,,,,,,
Ivory Coast,,2025,6810540.5,0.0558334283333333,380255.824918014,0.00617279719068888,0.8,,,,,,,
Jamaica,JAM,2025,1163891.5,0.05973494,69524.98891901,0.0356893574789716,0.8,,,,,,,
Japan,JPN,2025,80200383.5,0.04081444,3273333.74033774,0.19391563379793,0.8,,,,,,,
Jersey,,2025,60388,,,,0.8,,,,,,,
Jordan,JOR,2025,3382900,0.05491919,185786.127851,0.0525449334130746,0.8,,,,,,,
Kazakhstan,KAZ,2025,7820556.5,0.04336865,339166.977653725,0.156568703098721,0.8,,,,,,,
Kenya,KEN,2025,12325102.5,0.0499612,615776.911023,0.00321442764509949,0.8,,,,,,,
Kiribati,KIR,2025,36188.5,0.13566281,4909.433599685,0.00226116777112005,0.8,,,,,,,
Kosovo (under UNSC res. 1244),,2025,704016.5,,,,0.8,,,,,,,
Kuwait,KWT,2025,2112896,0.05832796,123240.91337216,0.242197763688561,0.8,,,,,,,
Kyrgyzstan,KGZ,2025,2259649,0.04124079,93189.70988271,0.00978252186041996,0.8,,,,,,,
Lao People's Democratic Republic,,2025,2235994,0.0558334283333333,124843.210752763,0.014662833682217,0.8,,,,,,,
Latvia,LVA,2025,1074695.5,0.0430698,46286.9202459,0.114422475524575,0.8,,,,,,,
Lebanon,LBN,2025,2268664.5,0.05658459,128371.450580055,0.0635984907896496,0.8,,,,,,,
Lesotho,LSO,2025,532089,0.07330782,39006.28463598,0.0088977595131691,0.8,,,,,,,
Liberia,LBR,2025,1219126,0.05996105,73100.0750423,0.00165849057054521,0.8,,,,,,,
Libya,LBY,2025,2648908.5,0.06131711,162423.413874435,0.0270950154648647,0.8,,,,,,,
Liechtenstein,,2025,23433.5,,,,0.8,,,,,,,
Lithuania,LTU,2025,1580238.5,0.04091491,64655.316006035,0.11542204896782,0.8,,,,,,,
Luxembourg,LUX,2025,355809,0.07126255,25355.85665295,0.318873485525373,0.8,,,,,,,
Madagascar,MDG,2025,6889136.5,0.04861866,334940.58518709,0.00154342600383183,0.8,,,,,,,
Malawi,MWI,2025,4037465.5,0.0566614,228768.4476817,0.00150568220747331,0.8,,,,,,,
Malaysia,MYS,2025,13546177.5,0.07400876,1002535.7995149,0.085295869597037,0.8,,,,,,,
Maldives,MDV,2025,190953,0.0638075,12184.2335475,0.0311191837211419,0.8,,,,,,,
Mali,MLI,2025,4193470,0.05396733,226310.3793351,0.0041924231359304,0.8,,,,,,,
Malta,MLT,2025,301119.5,0.07857022,23659.02536129,0.248648792982821,0.8,,,,,,,
Marshall Islands,,2025,11198,0.0558334283333333,625.222730476667,0.00850754480888036,0.8,,,,,,,
Martinique,,2025,210967,,,,0.8,,,,,,,
Mauritania,MRT,2025,1034548,0.05981439,61880.85754572,0.00622199778183667,0.8,,,,,,,
Mauritius,MUS,2025,630876.5,0.09524921,60090.488232565,0.117887114067936,0.8,,,,,,,
Mayotte,,2025,73853,,,,0.8,,,,,,,
Mexico,MEX,2025,49101128,0.06948966,3412020.69033648,0.0718439181020317,0.8,,,,,,,
Micronesia (Federated States of),,2025,31097,0.0558334283333333,1736.25212088167,0.00703733045437902,0.8,,,,,,,
Monaco,,2025,24624.5,,,,0.8,,,,,,,
Mongolia,MNG,2025,1172662,0.0410332,48118.0743784,0.0509687931304677,0.8,,,,,,,
Montenegro,MNE,2025,333537,0.03464211,11554.42544307,0.0872707459158528,0.8,,,,,,,
Montserrat,,2025,2413,,,,0.8,,,,,,,
Morocco,MAR,2025,14492750,0.05286115,766103.4316625,0.0187607283028803,0.8,,,,,,,
Mozambique,MOZ,2025,6042694.5,0.05427036,327939.20588502,0.00125815011857489,0.8,,,,,,,
Myanmar,MMR,2025,20833192,0.0667945,1391542.643044,0.0141562428542286,0.8,,,,,,,
Namibia,NAM,2025,729472,0.06375389,46506.67764608,0.0335653278476504,0.8,,,,,,,
Nauru,,2025,2932.5,,,,0.8,,,,,,,
Nepal,NPL,2025,9017139.5,0.04757321,428974.271032795,0.00336674434838831,0.8,,,,,,,
