scenario_id,location,sex,subgroup,baseline_year,scaleup_start_year,target_year,population_2025,htn_population_2025,diabetes_share_among_htn_assumed,baseline_control,target_control,annual_control_increment,controlled_2025,controlled_2030,additional_controlled_2030,allocation_method,control_gap_requested,control_gap_used
baseline,Tanzania,Male,htn_diabetes,2025,2026,2030,16793901.5,687139.623537503,0.17615636315443,0.183705031810134,0.183705031810134,0,126231.00639996,126231.00639996,0,inactive_at_baseline,0.15,0.15
baseline,Thailand,Female,htn_diabetes,2025,2026,2030,30139128.5,3488657.94503911,0.359212960743709,0.394569400110307,0.394569400110307,0,1376517.67256414,1376517.67256414,0,inactive_at_baseline,0.15,0.15
baseline,Thailand,Male,htn_diabetes,2025,2026,2030,27794681.5,2438427.77578518,0.294249039814907,0.325888502442416,0.325888502442416,0,794655.576164625,794655.576164625,0,inactive_at_baseline,0.15,0.15
baseline,Timor-Leste,Female,htn_diabetes,2025,2026,2030,411810,34260.8481443569,0.26495111080196,0.215626338722539,0.215626338722539,0,7387.54124689658,7387.54124689658,0,inactive_at_baseline,0.15,0.15
baseline,Timor-Leste,Male,htn_diabetes,2025,2026,2030,413587,28756.5739237481,0.243726977775872,0.232842591290669,0.232842591290669,0,6695.75518904719,6695.75518904719,0,inactive_at_baseline,0.15,0.15
baseline,Togo,Female,htn_diabetes,2025,2026,2030,2521841,186949.745575195,0.254204193872075,0.241856636324739,0.241856636324739,0,45215.0366265822,45215.0366265822,0,inactive_at_baseline,0.15,0.15
baseline,Togo,Male,htn_diabetes,2025,2026,2030,2542448,144076.71566795,0.204206971696529,0.17173340591008,0.17173340591008,0,24742.7850939952,24742.7850939952,0,inactive_at_baseline,0.15,0.15
baseline,Tonga,Female,htn_diabetes,2025,2026,2030,32313.5,6173.07983882532,0.463841232129796,0.196179819816976,0.196179819816976,0,1211.03369049656,1211.03369049656,0,inactive_at_baseline,0.15,0.15
baseline,Tonga,Male,htn_diabetes,2025,2026,2030,25702,3870.14503121515,0.412557253901722,0.15605455230616,0.15605455230616,0,603.953750206188,603.953750206188,0,inactive_at_baseline,0.15,0.15
baseline,Trinidad and Tobago,Female,htn_diabetes,2025,2026,2030,597491.5,99215.6608511008,0.391941177612257,0.335972018583834,0.335972018583834,0,33333.6858512734,33333.6858512734,0,inactive_at_baseline,0.15,0.15
baseline,Trinidad and Tobago,Male,htn_diabetes,2025,2026,2030,573181,88183.4265048088,0.364293832291484,0.268506254475395,0.268506254475395,0,23677.8015576125,23677.8015576125,0,inactive_at_baseline,0.15,0.15
baseline,Tunisia,Female,htn_diabetes,2025,2026,2030,4473072.5,581202.370687569,0.389003893040855,0.276942491695655,0.276942491695655,0,160959.632717637,160959.632717637,0,inactive_at_baseline,0.15,0.15
baseline,Tunisia,Male,htn_diabetes,2025,2026,2030,4220651,404285.769419736,0.295105345764179,0.208659262356082,0.208659262356082,0,84357.9704281832,84357.9704281832,0,inactive_at_baseline,0.15,0.15
baseline,Turkey,Female,htn_diabetes,2025,2026,2030,32397930.5,4177906.665772,0.390328541853969,0.450856895921297,0.450856895921297,0,1883638.03077886,1883638.03077886,0,inactive_at_baseline,0.15,0.15
baseline,Turkey,Male,htn_diabetes,2025,2026,2030,31751575.5,2699265.8745229,0.299578645604827,0.386936707508259,0.386936707508259,0,1044445.05017729,1044445.05017729,0,inactive_at_baseline,0.15,0.15
baseline,Turkmenistan,Female,htn_diabetes,2025,2026,2030,2480627.5,290921.823486391,0.342767814826483,0.237138586601707,0.237138586601707,0,68988.7900331541,68988.7900331541,0,inactive_at_baseline,0.15,0.15
baseline,Turkmenistan,Male,htn_diabetes,2025,2026,2030,2279282,190585.361243772,0.282153547156941,0.194228423858074,0.194228423858074,0,37017.0943247995,37017.0943247995,0,inactive_at_baseline,0.15,0.15
baseline,Uganda,Female,htn_diabetes,2025,2026,2030,12507067,653159.376298381,0.201765989315765,0.205517017018381,0.205517017018381,0,134235.36665443,134235.36665443,0,inactive_at_baseline,0.15,0.15
baseline,Uganda,Male,htn_diabetes,2025,2026,2030,11918712.5,474497.950327972,0.159288656667595,0.191056975067221,0.191056975067221,0,90656.1430652587,90656.1430652587,0,inactive_at_baseline,0.15,0.15
baseline,Ukraine,Female,htn_diabetes,2025,2026,2030,17369356.5,3376080.73890498,0.404214898532207,0.262036899916623,0.262036899916623,0,884657.730690883,884657.730690883,0,inactive_at_baseline,0.15,0.15
baseline,Ukraine,Male,htn_diabetes,2025,2026,2030,14484021.5,1982510.53649608,0.304594173667838,0.204977453467648,0.204977453467648,0,406369.961243749,406369.961243749,0,inactive_at_baseline,0.15,0.15
baseline,United Arab Emirates,Female,htn_diabetes,2025,2026,2030,3019650,208923.561722555,0.313102360298914,0.349023512412265,0.349023512412265,0,72919.2353380868,72919.2353380868,0,inactive_at_baseline,0.15,0.15
baseline,United Arab Emirates,Male,htn_diabetes,2025,2026,2030,6123736,449554.115252267,0.224000386510727,0.299626530277324,0.299626530277324,0,134698.339724929,134698.339724929,0,inactive_at_baseline,0.15,0.15
baseline,United Kingdom,Female,htn_diabetes,2025,2026,2030,27891787.5,2807489.29937555,0.339152177310694,0.391452175242281,0.391452175242281,0,1098997.79320999,1098997.79320999,0,inactive_at_baseline,0.15,0.15
baseline,United Kingdom,Male,htn_diabetes,2025,2026,2030,26469240,2516176.66967773,0.286448779558781,0.413376419248647,0.413376419248647,0,1040128.10190837,1040128.10190837,0,inactive_at_baseline,0.15,0.15
